system,power,Bending Modulus
nile red doped,100,1.86E-19
nile red doped,100,1.58E-19
nile red doped,100,1.34E-19
nile red doped,100,1.54E-19
nile red doped,100,2.21E-19
nile red doped,100,2.27E-19
nile red doped,100,2.21E-19
nile red doped,100,2.23E-19
nile red doped,100,1.87E-19
nile red doped,100,7.25E-20
nile red doped,100,2.73E-19
nile red doped,100,2.87E-19
nile red doped,100,3.27E-19
nile red doped,100,2.33E-19
undoped,100,1.14E-19
undoped,100,2.09E-19
undoped,100,2.74E-19
undoped,100,1.49E-19
undoped,100,7.65E-20
undoped,100,6.07E-19
undoped,100,2.85E-19
undoped,100,1.39E-19
undoped,100,1.37E-19
undoped,100,1.33E-19
undoped,100,3.05E-19
undoped,100,3.33E-19
undoped,100,1.15E-19
Rhodamine doped,100,2.38E-19
Rhodamine doped,100,1.23E-19
Rhodamine doped,100,1.34E-19
Rhodamine doped,100,1.48E-19
Rhodamine doped,100,2.28E-19
Rhodamine doped,100,7.26E-20
Rhodamine doped,100,1.12E-19
Rhodamine doped,100,1.02E-19
Rhodamine doped,100,6.64E-20
Rhodamine doped,100,2.45E-19
Rhodamine doped,100,7.25E-20
Rhodamine doped,100,2.91E-19
Rhodamine doped,100,1.80E-19
Rhodamine doped,100,1.57E-19
nile red doped,200,3.05E-19
nile red doped,200,2.38E-19
nile red doped,200,1.64E-19
nile red doped,200,3.19E-19
nile red doped,200,2.49E-19
nile red doped,200,4.07E-19
nile red doped,200,4.51E-19
nile red doped,200,4.69E-19
nile red doped,200,3.43E-19
nile red doped,200,1.72E-19
nile red doped,200,8.49E-19
nile red doped,200,7.99E-19
nile red doped,200,5.70E-19
undoped,200,4.69E-19
undoped,200,2.28E-19
undoped,200,3.96E-19
undoped,200,6.13E-19
undoped,200,1.99E-19
undoped,200,2.05E-19
undoped,200,1.18E-18
undoped,200,5.09E-19
undoped,200,2.61E-19
undoped,200,2.61E-19
undoped,200,2.36E-19
undoped,200,4.68E-19
undoped,200,5.75E-19
Rhodamine doped,200,2.31E-19
Rhodamine doped,200,2.69E-19
Rhodamine doped,200,3.39E-19
Rhodamine doped,200,2.74E-19
Rhodamine doped,200,2.88E-19
Rhodamine doped,200,7.13E-19
Rhodamine doped,200,3.09E-19
Rhodamine doped,200,1.63E-19
Rhodamine doped,200,1.86E-19
Rhodamine doped,200,1.18E-19
Rhodamine doped,200,4.74E-19
Rhodamine doped,200,1.72E-19
Rhodamine doped,200,3.97E-19
Rhodamine doped,200,4.15E-19
Rhodamine doped,200,3.88E-19
nile red doped,300,4.51E-19
nile red doped,300,3.64E-19
nile red doped,300,3.18E-19
nile red doped,300,4.16E-19
nile red doped,300,3.87E-19
nile red doped,300,6.12E-19
nile red doped,300,6.11E-19
nile red doped,300,8.24E-19
nile red doped,300,4.89E-19
nile red doped,300,3.52E-19
nile red doped,300,6.94E-19
nile red doped,300,1.53E-18
nile red doped,300,1.06E-18
undoped,300,6.44E-19
undoped,300,3.32E-19
undoped,300,5.47E-19
undoped,300,9.57E-19
undoped,300,3.08E-19
undoped,300,2.80E-19
undoped,300,1.61E-18
undoped,300,5.83E-19
undoped,300,2.65E-19
undoped,300,4.21E-19
undoped,300,2.90E-19
undoped,300,4.39E-19
undoped,300,7.98E-19
Rhodamine doped,300,3.36E-19
Rhodamine doped,300,3.39E-19
Rhodamine doped,300,7.12E-19
Rhodamine doped,300,4.84E-19
Rhodamine doped,300,3.62E-19
Rhodamine doped,300,7.01E-19
Rhodamine doped,300,2.34E-19
Rhodamine doped,300,2.42E-19
Rhodamine doped,300,2.39E-19
Rhodamine doped,300,1.63E-19
Rhodamine doped,300,6.53E-19
Rhodamine doped,300,3.52E-19
Rhodamine doped,300,6.69E-19
Rhodamine doped,300,3.64E-19
Rhodamine doped,300,3.13E-19
nile red doped,400,6.41E-19
nile red doped,400,4.78E-19
nile red doped,400,4.59E-19
nile red doped,400,5.77E-19
nile red doped,400,9.51E-19
nile red doped,400,8.12E-19
nile red doped,400,9.33E-19
nile red doped,400,1.42E-18
nile red doped,400,4.07E-19
nile red doped,400,1.72E-18
nile red doped,400,1.83E-18
nile red doped,400,1.72E-18
undoped,400,8.92E-19
undoped,400,3.85E-19
undoped,400,6.88E-19
undoped,400,1.17E-18
undoped,400,4.24E-19
undoped,400,3.67E-19
undoped,400,1.18E-18
undoped,400,8.38E-19
undoped,400,3.02E-19
undoped,400,5.30E-19
undoped,400,3.62E-19
undoped,400,9.29E-19
undoped,400,1.82E-18
undoped,400,4.44E-19
Rhodamine doped,400,5.41E-19
Rhodamine doped,400,9.19E-19
Rhodamine doped,400,5.96E-19
Rhodamine doped,400,6.16E-19
Rhodamine doped,400,1.18E-18
Rhodamine doped,400,4.89E-19
Rhodamine doped,400,3.40E-19
Rhodamine doped,400,2.12E-19
Rhodamine doped,400,2.46E-19
Rhodamine doped,400,8.50E-19
Rhodamine doped,400,4.07E-19
Rhodamine doped,400,6.09E-19
Rhodamine doped,400,5.50E-19
Rhodamine doped,400,7.66E-19
nile red doped,500,7.62E-19
nile red doped,500,5.36E-19
nile red doped,500,5.36E-19
